"C:\Users\Knopf Lab\Documents\Michelle\07122023\071223_17.4wt%GLY_S1_2min_2.tif"
"Item" , "Value" , "Units"
"Object Count" , 132 , "Objects"
"Selected Area" , 355926 , "microns"
"Total Object Area" , 20869.3 , "microns"
"Percent Object Area" , 5.86339 , "%"
"Summary Average Gray" , 34158.1 , "GrayValues"
"Summary Total Gray" , 9.56185e+08 , "GrayValues"
"Summary Min Gray" , 8416 , "GrayValues"
"Summary Max Gray" , 65520 , "GrayValues"

"Object Number" , "Units" , "Area" , "Perimeter" , "Shape Factor" , "Centroid X" , "Centroid Y" , "Hole Count" , "Diameter" , "Orientation" , "Enclosure Left" , "Enclosure Top" , "Enclosure Right" , "Enclosure Bottom" , "Min Gray" , "Max Gray" , "Total Gray" , "Average Gray" , "Bin Classification" , "Diameter X1" , "Diameter Y1" , "Diameter X2" , "Diameter Y2" , "Weighted Centroid X" , "Weighted Centroid Y" , "Minimum Radius" , "Minimum Radius X" , "Minimum Radius Y" , "Maximum Radius" , "Maximum Radius X" , "Maximum Radius Y" , "Weighted Minimum Radius" , "Weighted Minimum Radius X" , "Weighted Minimum Radius Y" , "Weighted Maximum Radius" , "Weighted Maximum Radius X" , "Weighted Maximum Radius Y" , "Minor Axis Diameter" , "Minor Axis Diameter X1" , "Minor Axis Diameter Y1" , "Minor Axis Diameter X2" , "Minor Axis Diameter Y2" , "Equivalent Circle Diameter" , "Equivalent Sphere Volume" , "Thread Length" , "Thread Width" , "Elongation" , "Roundness"
1 , "microns" , 61.3632 , 64.113 , 0.187597 , 9.63095 , 6.64286 , 0 , 16.2618 , 169.61 , 1 , 0 , 18 , 13 , 17680 , 33936 , 2.15768e+06 , 25686.7 , "Default Bin" , 18 , 10 , 0 , 7 , 9.90953 , 6.60251 , 3.64551 , 7 , 10 , 8.11171 , 2 , 1 , 3.82313 , 7 , 10 , 8.28438 , 2 , 1 , 11.9963 , 9 , 13 , 11 , 0 , 8.83912 , 361.597 , 30.0119 , 2.04463 , 1.35557 , 5.33058
2 , "microns" , 114.691 , 34.8709 , 1.18525 , 1101.46 , 6.48408 , 0 , 13.7019 , 41.5513 , 1095 , 0 , 1108 , 13 , 20432 , 48128 , 5.77146e+06 , 36760.9 , "Default Bin" , 1096 , 11 , 1107 , 1 , 1101.42 , 6.56485 , 5.13673 , 1099 , 1 , 6.09265 , 1107 , 2 , 5.1421 , 1104 , 12 , 6.16155 , 1107 , 2 , 11.1439 , 823 , 0 , 831 , 0 , 12.0842 , 923.966 , 13.7019 , 13.7019 , 1.22954 , 0.843702
3 , "microns" , 32.8731 , 22.1363 , 0.843024 , 1200.44 , 9.06667 , 0 , 7.73965 , 12.2071 , 1197 , 6 , 1204 , 12 , 17440 , 40464 , 1.27598e+06 , 28355.2 , "Default Bin" , 1197 , 10 , 1205 , 8 , 1200.44 , 9.11447 , 2.53574 , 1200 , 12 , 3.26354 , 1198 , 12 , 2.49529 , 1200 , 12 , 3.232 , 1198 , 12 , 6.04365 , 1173 , 0 , 1174 , 0 , 6.46957 , 141.783 , 7.73965 , 7.73965 , 1.28062 , 1.18621
4 , "microns" , 194.317 , 53.2344 , 0.861658 , 93.5564 , 15.0263 , 0 , 17.9691 , 155.903 , 84 , 7 , 103 , 23 , 22480 , 62640 , 1.20478e+07 , 45292.3 , "Default Bin" , 102 , 20 , 84 , 12 , 93.8178 , 15.0918 , 6.34827 , 91 , 22 , 8.56763 , 84 , 12 , 6.31559 , 98 , 9 , 8.79752 , 84 , 12 , 14.555 , 88 , 21 , 95 , 6 , 15.7293 , 2037.65 , 17.9691 , 17.9691 , 1.23456 , 1.16055
5 , "microns" , 28.49 , 70.2425 , 0.0725609 , 1002.59 , 13.1026 , 0 , 12.849 , 23.182 , 996 , 7 , 1010 , 20 , 24768 , 33840 , 1.20003e+06 , 30770.1 , "Default Bin" , 996 , 15 , 1009 , 9 , 1002.62 , 13.1557 , 4.89072 , 1000 , 8 , 6.41205 , 1009 , 17 , 4.94266 , 1000 , 8 , 6.36709 , 998 , 19 , 11.9963 , 923 , 0 , 928 , 0 , 6.02284 , 114.394 , 34.2904 , 0.830845 , 1.07108 , 13.7815
6 , "microns" , 137.337 , 44.9807 , 0.852989 , 1145.66 , 13.6862 , 0 , 15.4083 , 150.1 , 1138 , 7 , 1153 , 21 , 18112 , 44368 , 6.49384e+06 , 34541.7 , "Default Bin" , 1153 , 17 , 1138 , 9 , 1145.59 , 13.7469 , 5.51459 , 1142 , 19 , 6.95992 , 1139 , 9 , 5.43619 , 1142 , 19 , 6.93875 , 1139 , 9 , 12.849 , 1140 , 18 , 1147 , 6 , 13.2236 , 1210.72 , 15.4083 , 15.4083 , 1.19919 , 1.17235
7 , "microns" , 43.8308 , 92.0856 , 0.0649541 , 1049.5 , 17.45 , 0 , 16.2618 , 123.47 , 1041 , 9 , 1057 , 26 , 24000 , 33888 , 1.79046e+06 , 29841.1 , "Default Bin" , 1054 , 25 , 1044 , 10 , 1049.48 , 17.6002 , 5.54914 , 1055 , 14 , 7.92398 , 1042 , 12 , 5.59615 , 1056 , 17 , 8.00844 , 1044 , 10 , 14.555 , 1041 , 19 , 1054 , 10 , 7.47042 , 218.29 , 45.0703 , 0.972499 , 1.11726 , 15.3955
8 , "microns" , 48.2139 , 26.7639 , 0.845833 , 971.152 , 21.0606 , 0 , 8.58964 , 63.8184 , 967 , 17 , 975 , 25 , 24144 , 52064 , 2.57445e+06 , 39006.8 , "Default Bin" , 968 , 24 , 972 , 16 , 971.184 , 21.0991 , 3.16277 , 968 , 23 , 3.83644 , 969 , 25 , 3.16935 , 968 , 23 , 3.83196 , 973 , 17 , 8.58964 , 968 , 18 , 976 , 22 , 7.83504 , 251.839 , 8.58964 , 8.58964 , 1 , 1.18227
9 , "microns" , 99.3499 , 37.9357 , 0.867522 , 1103.1 , 24.1324 , 0 , 11.9963 , 39.8063 , 1097 , 18 , 1109 , 30 , 19744 , 46448 , 4.8664e+06 , 35782.4 , "Default Bin" , 1098 , 28 , 1108 , 20 , 1103.06 , 24.1712 , 4.74058 , 1101 , 19 , 5.70713 , 1109 , 21 , 4.75631 , 1101 , 19 , 5.75819 , 1109 , 21 , 11.1439 , 1100 , 19 , 1108 , 28 , 11.2471 , 744.929 , 11.9963 , 11.9963 , 1.07649 , 1.15271
10 , "microns" , 100.08 , 38.4364 , 0.851283 , 1118.93 , 45.6423 , 0 , 11.1439 , 179.092 , 1113 , 40 , 1125 , 52 , 19600 , 46032 , 4.82186e+06 , 35196 , "Default Bin" , 1125 , 48 , 1113 , 48 , 1118.87 , 45.6886 , 4.82291 , 1119 , 40 , 5.78593 , 1114 , 41 , 4.81266 , 1117 , 51 , 5.77756 , 1114 , 41 , 11.1439 , 1120 , 52 , 1120 , 40 , 11.2883 , 753.16 , 11.1439 , 11.1439 , 1 , 1.1747
