"C:\Users\Knopf Lab\Documents\Michelle\07122023\071223_17.4wt%GLY_S1_2min_2.tif"
"Item" , "Value" , "Units"
"Object Count" , 262 , "Objects"
"Selected Area" , 355926 , "microns"
"Total Object Area" , 148730 , "microns"
"Percent Object Area" , 41.7867 , "%"
"Summary Average Gray" , 47737.1 , "GrayValues"
"Summary Total Gray" , 8.83311e+09 , "GrayValues"
"Summary Min Gray" , 8416 , "GrayValues"
"Summary Max Gray" , 65520 , "GrayValues"

"Object Number" , "Units" , "Area" , "Perimeter" , "Shape Factor" , "Centroid X" , "Centroid Y" , "Hole Count" , "Diameter" , "Orientation" , "Enclosure Left" , "Enclosure Top" , "Enclosure Right" , "Enclosure Bottom" , "Min Gray" , "Max Gray" , "Total Gray" , "Average Gray" , "Bin Classification" , "Diameter X1" , "Diameter Y1" , "Diameter X2" , "Diameter Y2" , "Weighted Centroid X" , "Weighted Centroid Y" , "Minimum Radius" , "Minimum Radius X" , "Minimum Radius Y" , "Maximum Radius" , "Maximum Radius X" , "Maximum Radius Y" , "Weighted Minimum Radius" , "Weighted Minimum Radius X" , "Weighted Minimum Radius Y" , "Weighted Maximum Radius" , "Weighted Maximum Radius X" , "Weighted Maximum Radius Y" , "Minor Axis Diameter" , "Minor Axis Diameter X1" , "Minor Axis Diameter Y1" , "Minor Axis Diameter X2" , "Minor Axis Diameter Y2" , "Equivalent Circle Diameter" , "Equivalent Sphere Volume" , "Thread Length" , "Thread Width" , "Elongation" , "Roundness"
11 , "microns" , 124.187 , 42.5632 , 0.861425 , 195.018 , 13.8471 , 0 , 12.849 , 176.242 , 188 , 7 , 202 , 20 , 29856 , 65520 , 8.57778e+06 , 50457.5 , "Default Bin" , 202 , 16 , 188 , 15 , 195.114 , 13.8789 , 5.06753 , 196 , 8 , 6.47281 , 188 , 11 , 5.08144 , 196 , 8 , 6.55944 , 188 , 11 , 11.1439 , 197 , 20 , 198 , 8 , 12.5746 , 1041.07 , 12.849 , 12.849 , 1.153 , 1.16087
12 , "microns" , 107.386 , 40.5606 , 0.820253 , 408.966 , 13.2857 , 0 , 11.9963 , 34.3779 , 402 , 7 , 416 , 20 , 27088 , 65520 , 7.67139e+06 , 52186.3 , "Default Bin" , 402 , 14 , 413 , 7 , 409.066 , 13.323 , 4.68679 , 413 , 17 , 6.11158 , 416 , 12 , 4.60252 , 413 , 17 , 6.06683 , 402 , 14 , 11.1439 , 406 , 8 , 413 , 18 , 11.6931 , 837.11 , 11.9963 , 11.9963 , 1.07649 , 1.21914
13 , "microns" , 172.401 , 49.8156 , 0.87301 , 135.64 , 19.0212 , 0 , 15.4083 , 34.186 , 127 , 11 , 144 , 27 , 24176 , 65488 , 1.13199e+07 , 47965.8 , "Default Bin" , 128 , 23 , 142 , 13 , 135.783 , 19.0984 , 6.58785 , 128 , 18 , 7.49558 , 132 , 27 , 6.50822 , 139 , 26 , 7.54617 , 127 , 20 , 15.4083 , 116 , 0 , 126 , 0 , 14.8158 , 1702.84 , 15.4083 , 15.4083 , 1 , 1.14546
14 , "microns" , 93.5058 , 37.2277 , 0.847846 , 503.547 , 18.2422 , 0 , 11.9963 , 65.4231 , 498 , 12 , 509 , 24 , 31328 , 65520 , 6.59573e+06 , 51529.1 , "Default Bin" , 499 , 23 , 504 , 11 , 503.655 , 18.287 , 4.66539 , 509 , 18 , 5.62487 , 499 , 23 , 4.57518 , 509 , 18 , 5.66165 , 499 , 23 , 11.1439 , 499 , 14 , 510 , 19 , 10.9112 , 680.176 , 11.9963 , 11.9963 , 1.07649 , 1.17946
15 , "microns" , 82.5481 , 34.8102 , 0.856059 , 928.637 , 16.9204 , 0 , 10.292 , 160.898 , 923 , 12 , 934 , 22 , 26448 , 55840 , 4.84571e+06 , 42882.4 , "Default Bin" , 933 , 21 , 923 , 17 , 928.647 , 16.9552 , 4.21685 , 929 , 12 , 5.22969 , 925 , 12 , 4.24596 , 929 , 12 , 5.2584 , 925 , 12 , 10.292 , 925 , 21 , 929 , 11 , 10.252 , 564.188 , 10.292 , 10.292 , 1 , 1.16814
16 , "microns" , 137.337 , 44.48 , 0.8723 , 785.351 , 19.8617 , 0 , 13.7019 , 148.52 , 778 , 13 , 793 , 27 , 30704 , 62096 , 9.25718e+06 , 49240.3 , "Default Bin" , 790 , 26 , 777 , 18 , 785.451 , 19.9178 , 5.61807 , 783 , 26 , 6.83612 , 779 , 15 , 5.60475 , 783 , 26 , 6.93322 , 779 , 15 , 12.849 , 780 , 24 , 787 , 12 , 13.2236 , 1210.72 , 13.7019 , 13.7019 , 1.06638 , 1.14639
17 , "microns" , 126.379 , 43.0639 , 0.856362 , 709.428 , 21.9653 , 0 , 13.7019 , 74.1982 , 703 , 15 , 716 , 29 , 29952 , 63920 , 8.7691e+06 , 50688.5 , "Default Bin" , 707 , 29 , 711 , 15 , 709.533 , 22.0175 , 5.49388 , 703 , 22 , 6.39727 , 705 , 28 , 5.52727 , 716 , 22 , 6.41534 , 705 , 28 , 12.849 , 703 , 19 , 716 , 23 , 12.6851 , 1068.75 , 13.7019 , 13.7019 , 1.06638 , 1.16773
18 , "microns" , 62.8242 , 30.8907 , 0.827334 , 971.349 , 20.9186 , 0 , 9.44048 , 80.0394 , 967 , 16 , 976 , 26 , 24144 , 52064 , 3.44147e+06 , 40017.1 , "Default Bin" , 968 , 25 , 970 , 15 , 971.37 , 20.9586 , 3.5921 , 975 , 23 , 4.51234 , 968 , 25 , 3.55934 , 975 , 23 , 4.49766 , 968 , 25 , 9.44048 , 967 , 19 , 977 , 21 , 8.94373 , 374.588 , 9.44048 , 9.44048 , 1 , 1.2087
19 , "microns" , 91.3142 , 38.6438 , 0.768403 , 753.232 , 22.568 , 0 , 13.7019 , 21.4226 , 746 , 17 , 760 , 28 , 29728 , 61136 , 5.91978e+06 , 47358.2 , "Default Bin" , 746 , 24 , 760 , 19 , 753.336 , 22.6065 , 3.59711 , 751 , 19 , 6.30121 , 746 , 24 , 3.67282 , 751 , 19 , 6.38257 , 746 , 24 , 8.58964 , 709 , 0 , 712 , 0 , 10.7826 , 656.404 , 11.0821 , 8.23982 , 1.59517 , 1.3014
20 , "microns" , 96.4278 , 37.435 , 0.86468 , 259.114 , 23.6894 , 0 , 11.1439 , 20.9769 , 253 , 18 , 265 , 30 , 28352 , 65520 , 6.75166e+06 , 51149 , "Default Bin" , 253 , 23 , 264 , 19 , 259.203 , 23.7297 , 4.7961 , 254 , 26 , 5.53132 , 265 , 21 , 4.75926 , 261 , 29 , 5.50381 , 253 , 22 , 11.9963 , 246 , 0 , 251 , 0 , 11.0804 , 712.307 , 11.1439 , 11.1439 , 0.928948 , 1.1565
21 , "microns" , 92.0447 , 37.2277 , 0.834598 , 898.484 , 24.1746 , 0 , 11.1439 , 59.8984 , 893 , 18 , 904 , 30 , 27936 , 58720 , 5.63216e+06 , 44699.7 , "Default Bin" , 894 , 29 , 900 , 19 , 898.504 , 24.1921 , 4.55292 , 903 , 27 , 5.63013 , 894 , 29 , 4.53025 , 903 , 27 , 5.63107 , 894 , 29 , 11.1439 , 894 , 20 , 904 , 26 , 10.8257 , 664.297 , 11.1439 , 11.1439 , 1 , 1.19818
22 , "microns" , 97.1583 , 37.9357 , 0.848386 , 350.128 , 25.1278 , 0 , 11.9963 , 45 , 344 , 19 , 356 , 31 , 33568 , 65520 , 7.11843e+06 , 53522 , "Default Bin" , 345 , 29 , 354 , 20 , 350.199 , 25.1564 , 4.7451 , 348 , 20 , 5.49197 , 345 , 29 , 4.76883 , 355 , 28 , 5.52802 , 344 , 27 , 11.1439 , 347 , 20 , 355 , 28 , 11.1223 , 720.417 , 11.9963 , 11.9963 , 1.07649 , 1.17871
23 , "microns" , 140.259 , 45.6888 , 0.844347 , 631.38 , 26.1823 , 0 , 15.4083 , 53.1462 , 624 , 19 , 639 , 34 , 31344 , 63568 , 1.01726e+07 , 52982.5 , "Default Bin" , 626 , 32 , 636 , 18 , 631.49 , 26.2338 , 5.34264 , 626 , 23 , 7.29896 , 636 , 19 , 5.26937 , 637 , 29 , 7.28579 , 636 , 19 , 11.9963 , 392 , 0 , 403 , 0 , 13.3635 , 1249.56 , 15.4083 , 15.4083 , 1.28442 , 1.18435
24 , "microns" , 97.8888 , 37.9357 , 0.854765 , 488.127 , 28.4104 , 0 , 11.9963 , 17.8644 , 482 , 22 , 494 , 34 , 34768 , 65520 , 7.26987e+06 , 54252.8 , "Default Bin" , 482 , 29 , 494 , 25 , 488.239 , 28.4549 , 4.68414 , 489 , 23 , 5.80473 , 494 , 25 , 4.7075 , 489 , 23 , 5.75902 , 482 , 31 , 11.1439 , 471 , 0 , 475 , 0 , 11.164 , 728.557 , 11.9963 , 11.9963 , 1.07649 , 1.16991
25 , "microns" , 195.778 , 53.9425 , 0.845495 , 156.351 , 32.6493 , 0 , 17.1154 , 31.1882 , 147 , 24 , 166 , 41 , 26576 , 65520 , 1.31286e+07 , 48987.3 , "Default Bin" , 147 , 35 , 163 , 25 , 156.496 , 32.6611 , 6.36394 , 153 , 26 , 8.48972 , 147 , 36 , 6.42989 , 153 , 26 , 8.60369 , 147 , 36 , 15.4083 , 152 , 26 , 161 , 41 , 15.7883 , 2060.67 , 17.1154 , 17.1154 , 1.11079 , 1.18274
26 , "microns" , 27.7595 , 20.2195 , 0.853256 , 383.5 , 27 , 0 , 6.04365 , 90 , 381 , 24 , 386 , 30 , 38368 , 65520 , 1.9465e+06 , 51223.6 , "Default Bin" , 385 , 30 , 385 , 24 , 383.552 , 27.0258 , 2.13675 , 381 , 27 , 2.86675 , 382 , 24 , 2.09261 , 386 , 27 , 2.90642 , 382 , 24 , 5.19894 , 381 , 25 , 386 , 25 , 5.94513 , 110.023 , 6.04365 , 6.04365 , 1.16248 , 1.17198
27 , "microns" , 146.103 , 45.9821 , 0.868344 , 541.75 , 30.975 , 0 , 13.7019 , 177.729 , 534 , 24 , 549 , 38 , 32992 , 64368 , 1.08071e+07 , 54035.4 , "Default Bin" , 549 , 34 , 534 , 33 , 541.894 , 31.029 , 5.96537 , 542 , 24 , 6.85431 , 548 , 36 , 5.95881 , 542 , 38 , 6.9539 , 534 , 33 , 12.849 , 545 , 38 , 546 , 24 , 13.6391 , 1328.47 , 13.7019 , 13.7019 , 1.06638 , 1.15162
28 , "microns" , 85.4701 , 35.0176 , 0.875895 , 811.385 , 31.453 , 0 , 11.1439 , 65.6639 , 806 , 26 , 817 , 37 , 28256 , 59696 , 5.34058e+06 , 45645.9 , "Default Bin" , 809 , 37 , 814 , 26 , 811.466 , 31.5031 , 4.46731 , 816 , 29 , 5.16902 , 814 , 26 , 4.41182 , 814 , 36 , 5.1783 , 814 , 26 , 11.1439 , 807 , 28 , 818 , 33 , 10.4319 , 594.409 , 11.1439 , 11.1439 , 1 , 1.14169
29 , "microns" , 58.4411 , 29.1813 , 0.862419 , 860.212 , 31.575 , 0 , 9.44048 , 75.68 , 856 , 27 , 865 , 36 , 32896 , 60064 , 3.72114e+06 , 46514.2 , "Default Bin" , 858 , 36 , 860 , 26 , 860.256 , 31.5995 , 3.50592 , 864 , 30 , 4.2693 , 865 , 33 , 3.48001 , 864 , 30 , 4.26227 , 856 , 29 , 9.44048 , 856 , 29 , 866 , 31 , 8.6261 , 336.079 , 9.44048 , 9.44048 , 1 , 1.15953
30 , "microns" , 96.4278 , 37.435 , 0.86468 , 682.106 , 37.0379 , 0 , 11.9963 , 42.0061 , 676 , 31 , 688 , 43 , 30080 , 63136 , 6.59122e+06 , 49933.5 , "Default Bin" , 677 , 41 , 687 , 32 , 682.217 , 37.0894 , 4.66699 , 680 , 32 , 5.66733 , 688 , 34 , 4.65037 , 686 , 41 , 5.60388 , 688 , 34 , 10.292 , 527 , 0 , 534 , 0 , 11.0804 , 712.307 , 11.9963 , 11.9963 , 1.1656 , 1.1565
31 , "microns" , 198.7 , 54.4432 , 0.842404 , 780.287 , 40.2463 , 0 , 18.8228 , 146.486 , 771 , 32 , 790 , 49 , 31280 , 61984 , 1.3851e+07 , 50922.8 , "Default Bin" , 789 , 46 , 771 , 34 , 780.378 , 40.2955 , 6.09429 , 778 , 47 , 9.11642 , 771 , 35 , 6.08022 , 778 , 47 , 9.20533 , 771 , 35 , 14.555 , 774 , 45 , 783 , 32 , 15.9057 , 2106.98 , 18.8228 , 18.8228 , 1.29322 , 1.18708
